# DraftSheets re-scored for San Diego City Slackers (12 tm, QB1/RB2/WR3/TE1/FLEX1 RB/WR, 0 PPR). Pts = ECR-blended 16-game projection; VBD vs baselines QB14, RB44, WR47, TE12.
Player,Position,Team,Bye,ECRRank,ECRTier,PosRank,Upside,Bust,MissedGames,Low,Avg,High,Pts,VBD,Tier,ECRvsADP
Jahmyr Gibbs,RB,DET,6,1,1,1,5 out of 5,1 out of 5,2.551,224.19,242.81,261.69,242.88,166.27,1,0
Bijan Robinson,RB,ATL,11,2,1,2,5 out of 5,1 out of 5,2.55,214.99,221.43,226.09,220.99,144.38,2,0
Ja'Marr Chase,WR,CIN,6,3,1,1,5 out of 5,1 out of 5,1.832,172.1,178.72,185.01,180.03,100.42,1,0
Puka Nacua,WR,LAR,11,4,1,2,5 out of 5,2 out of 5,1.899,182.82,184.31,187.96,183.45,103.84,1,0
Jaxon Smith-Njigba,WR,SEA,11,5,1,3,5 out of 5,2 out of 5,1.965,165.31,177.53,194.52,178.72,99.11,1,2
Amon-Ra St. Brown,WR,DET,6,6,1,4,5 out of 5,1 out of 5,2.03,161.23,166.4,173.08,166.78,87.17,2,2
Jonathan Taylor,RB,IND,13,7,1,3,4 out of 5,3 out of 5,2.55,194.79,212.42,234.34,213.49,136.89,2,-1
Christian McCaffrey,RB,SF,8,8,1,4,4 out of 5,4 out of 5,2.551,188.37,202.73,212.42,201.56,124.96,2,-3
James Cook III,RB,BUF,7,9,1,5,5 out of 5,1 out of 5,2.553,176.08,187.71,196.28,190.59,113.99,3,0
CeeDee Lamb,WR,DAL,14,10,1,5,4 out of 5,2 out of 5,2.095,124.58,143.24,157.28,142.09,62.47,3,0
Justin Jefferson,WR,MIN,6,11,2,6,5 out of 5,2 out of 5,2.159,136.79,141.46,149.34,142.26,62.65,3,2
Chase Brown,RB,CIN,6,12,2,6,5 out of 5,2 out of 5,2.556,154.13,169.57,186.47,174.47,97.87,3,2
Saquon Barkley,RB,PHI,10,13,2,7,4 out of 5,4 out of 5,2.561,163.09,176.02,189.96,177.15,100.55,3,-2
A.J. Brown,WR,NE,11,14,2,7,5 out of 5,2 out of 5,2.222,126.68,137.03,151.56,138.77,59.15,3,5
Drake London,WR,ATL,11,15,2,8,4 out of 5,3 out of 5,2.285,133.1,139.8,147.96,139.47,59.86,3,6
De'Von Achane,RB,MIA,6,16,2,8,4 out of 5,4 out of 5,2.567,158.04,179.55,207.31,180.23,103.63,3,-4
Kenneth Walker III,RB,KC,5,17,2,9,5 out of 5,4 out of 5,2.574,154.72,168.65,178.28,167.8,91.2,4,-2
Omarion Hampton,RB,LAC,7,18,2,10,5 out of 5,2 out of 5,2.582,143.65,161.25,173.25,161.7,85.1,4,-2
Nico Collins,WR,HOU,8,19,2,9,4 out of 5,2 out of 5,2.347,126.41,135.08,148.25,136.33,56.72,3,4
Brock Bowers,TE,LV,13,20,2,1,5 out of 5,1 out of 5,2.201,113.15,121.67,137.01,123.38,35.97,1,2
Derrick Henry,RB,BAL,13,21,2,11,4 out of 5,2 out of 5,2.591,183.67,202.28,221.48,193.41,116.81,3,-3
