# Yahoo data for league 59154 (San Diego City Slackers), scraped 2026-09-04: season projections in league scoring (league players page) + ADP (draft analysis, standard-scoring ADP). Kickers omitted: no K slot.
Player,Position,Team,ProjectedPoints,YahooADP,YahooPlayerID,Bye,YahooPreseasonADP,YahooPctDrafted,YahooORank
Jahmyr Gibbs,RB,DET,284.47,1.3,40059,6,1.4,1.00,1
Bijan Robinson,RB,ATL,275.90,2.0,40055,11,2.1,1.00,2
Ja'Marr Chase,WR,CIN,210.60,3.5,33393,6,3.6,1.00,3
Puka Nacua,WR,LAR,203.24,5.0,40168,11,5.1,1.00,4
Christian McCaffrey,RB,SF,233.74,5.9,30121,8,6.0,1.00,6
Jonathan Taylor,RB,IND,251.90,6.3,32711,13,6.3,1.00,5
Jaxon Smith-Njigba,WR,SEA,206.44,7.2,40041,11,7.4,1.00,8
Amon-Ra St. Brown,WR,DET,197.45,7.9,33500,6,7.9,1.00,7
James Cook III,RB,BUF,223.08,9.4,34019,7,9.5,1.00,9
CeeDee Lamb,WR,DAL,179.27,11.0,32687,14,11.1,1.00,12
Saquon Barkley,RB,PHI,201.30,11.3,30972,10,11.2,1.00,10
Justin Jefferson,WR,MIN,176.10,13.2,32692,6,13.3,1.00,13
De'Von Achane,RB,MIA,222.16,15.2,40118,6,15.3,1.00,17
Kenneth Walker III,RB,KC,196.89,15.4,33996,5,15.4,1.00,11
Chase Brown,RB,CIN,198.41,15.7,40196,6,15.8,1.00,14
Derrick Henry,RB,BAL,218.62,17.2,29279,13,17.2,1.00,15
Ashton Jeanty,RB,LV,175.02,17.7,41791,13,18.1,1.00,21
Omarion Hampton,RB,LAC,186.66,18.2,41807,7,18.3,1.00,16
Drake London,WR,ATL,174.17,20.1,33963,11,20.3,1.00,20
Josh Allen,QB,BUF,331.90,20.6,30977,7,20.5,1.00,35
Brock Bowers,TE,LV,133.82,21.0,40878,13,21.1,1.00,19
Nico Collins,WR,HOU,175.44,21.6,33477,8,21.6,1.00,18
George Pickens,WR,DAL,174.10,22.5,34007,14,22.6,1.00,22
A.J. Brown,WR,NE,159.38,24.0,31883,11,24.0,1.00,23
Trey McBride,TE,ARI,138.91,27.1,34010,14,27.3,1.00,34
Kyren Williams,RB,LAR,189.12,28.0,34120,11,27.9,1.00,27
DeVonta Smith,WR,PHI,146.79,29.5,33398,10,29.6,1.00,26
Jeremiyah Love,RB,ARI,182.78,29.7,42625,14,30.1,1.00,28
Malik Nabers,WR,NYG,139.67,30.4,40899,8,30.3,1.00,25
Chris Olave,WR,NO,147.44,31.3,33966,8,31.3,1.00,24
Tee Higgins,WR,CIN,149.67,33.5,32703,6,33.5,1.00,31
Javonte Williams,RB,DAL,201.36,33.8,33423,14,33.9,1.00,29
Breece Hall,RB,NYJ,187.69,34.6,33991,13,34.6,1.00,30
Rashee Rice,WR,KC,150.45,35.6,40084,5,35.8,1.00,39
Zay Flowers,WR,BAL,165.04,35.7,40039,13,35.6,1.00,32
Lamar Jackson,QB,BAL,306.33,38.6,31002,13,38.5,1.00,53
Colston Loveland,TE,CHI,125.82,39.2,41795,10,39.3,1.00,38
Jaylen Waddle,WR,DEN,144.75,40.0,33394,10,39.8,1.00,33
Tetairoa McMillan,WR,CAR,143.13,41.9,41793,5,42.1,1.00,37
Travis Etienne Jr.,RB,NO,174.40,42.0,33413,8,42.0,1.00,40
Cam Skattebo,RB,NYG,176.09,42.4,41922,8,42.5,1.00,48
Ladd McConkey,WR,LAC,128.38,44.6,40908,7,44.6,1.00,41
Emeka Egbuka,WR,TB,127.63,45.6,41804,10,45.9,1.00,43
D'Andre Swift,RB,CHI,162.50,45.7,32705,10,45.6,1.00,42
Tyler Warren,TE,IND,127.22,47.1,41799,13,47.2,1.00,46
Drake Maye,QB,NE,303.03,47.7,40881,11,47.5,1.00,61
Garrett Wilson,WR,NYJ,119.78,48.0,33965,13,48.1,1.00,36
Josh Jacobs,RB,GB,49.88,49.5,31856,11,51.0,0.98,126
Joe Burrow,QB,CIN,294.28,50.2,32671,6,50.2,1.00,64
David Montgomery,RB,HOU,172.63,53.1,31905,8,53.4,1.00,57
Terry McLaurin,WR,WAS,135.61,54.1,31908,7,54.2,1.00,47
Bucky Irving,RB,TB,162.84,54.2,40993,10,54.3,1.00,50
Quinshon Judkins,RB,CLE,165.24,54.6,41821,11,55.1,1.00,56
Jayden Daniels,QB,WAS,301.07,55.2,40896,7,55.2,1.00,67
Davante Adams,WR,LAR,133.69,56.7,27581,11,57.4,1.00,55
Jalen Hurts,QB,PHI,305.32,56.8,32723,10,56.3,1.00,63
Luther Burden III,WR,CHI,135.00,57.9,41824,10,58.1,1.00,44
DJ Moore,WR,BUF,123.70,59.2,30994,7,59.0,1.00,45
Tucker Kraft,TE,GB,123.91,60.4,40102,11,60.3,1.00,66
Bhayshul Tuten,RB,JAX,143.40,61.1,41900,7,61.4,1.00,58
Sam LaPorta,TE,DET,106.50,63.2,40064,6,63.0,1.00,70
Jadarian Price,RB,SEA,166.47,63.9,42654,11,64.2,1.00,59
Jameson Williams,WR,DET,128.08,65.6,33967,6,65.7,1.00,49
Rome Odunze,WR,CHI,126.56,66.3,40901,10,66.2,1.00,51
Caleb Williams,QB,CHI,284.05,66.7,40900,10,66.5,1.00,72
TreVeyon Henderson,RB,NE,145.81,66.8,41823,11,67.6,1.00,65
Christian Watson,WR,GB,136.90,67.7,33989,11,67.8,1.00,52
Mike Evans,WR,SF,116.76,69.5,27535,8,70.1,1.00,60
Justin Herbert,QB,LAC,270.26,70.3,32676,7,70.2,1.00,75
Harold Fannin Jr.,TE,CLE,104.97,70.8,41877,11,70.6,1.00,78
Kyle Pitts Sr.,TE,ATL,103.60,72.2,33392,11,72.0,1.00,79
Dak Prescott,QB,DAL,291.57,73.1,29369,14,73.2,1.00,83
Jaylen Warren,RB,PIT,155.76,76.1,34447,9,76.3,1.00,69
Rhamondre Stevenson,RB,NE,142.14,77.3,33508,11,77.3,1.00,62
Parker Washington,WR,JAX,132.86,77.4,40234,7,77.1,1.00,54
Marvin Harrison Jr.,WR,ARI,115.44,78.3,40893,14,78.4,1.00,68
Carnell Tate,WR,TEN,106.81,81.5,42626,9,82.1,1.00,74
George Kittle,TE,SF,99.28,82.9,30259,8,82.3,1.00,87
Trevor Lawrence,QB,JAX,284.06,83.8,33389,7,83.7,1.00,80
Brian Thomas Jr.,WR,JAX,106.17,84.0,40883,7,84.3,1.00,73
DK Metcalf,WR,PIT,120.26,85.7,31896,9,85.9,1.00,76
Tony Pollard,RB,TEN,130.46,85.9,31960,9,86.3,1.00,81
Rico Dowdle,RB,PIT,153.68,86.3,33100,9,86.5,1.00,86
Rams,DEF,LAR,160.39,87.4,100014,11,87.3,1.00,155
Chuba Hubbard,RB,CAR,124.75,90.5,33514,5,91.7,1.00,84
Jonathon Brooks,RB,CAR,137.18,91.4,40926,5,91.1,0.96,77
Jaxson Dart,QB,NYG,281.09,92.3,41810,8,93.1,1.00,107
Texans,DEF,HOU,156.62,93.9,100034,8,93.9,1.00,150
J.K. Dobbins,RB,DEN,120.41,94.7,32725,10,94.7,1.00,85
Travis Kelce,TE,KC,98.22,94.8,26686,5,94.7,1.00,118
Chris Godwin Jr.,WR,TB,100.60,95.6,30197,10,95.6,1.00,82
Alec Pierce,WR,IND,134.97,95.9,34008,13,96.8,0.99,96
MarShawn Lloyd,RB,GB,161.13,96.9,40971,11,96.9,0.29,71
Dalton Kincaid,TE,BUF,89.76,97.6,40048,7,96.8,1.00,106
Brock Purdy,QB,SF,268.76,98.4,34218,8,98.3,0.99,101
Bo Nix,QB,DEN,281.01,98.8,40875,10,98.5,0.99,105
Blake Corum,RB,LAR,133.54,99.5,40962,11,99.8,1.00,92
Matthew Stafford,QB,LAR,260.98,99.7,9265,11,99.4,0.98,115
Michael Wilson,WR,ARI,103.03,100.4,40121,14,100.5,0.99,90
Jordyn Tyson,WR,NO,69.08,100.9,42630,8,101.8,0.64,129
